medication_class,hospital_id,unit_type,eligible_orders_n,converted_orders_n,conversion_pct,cell_suppression_threshold,suppressed_hospital_unit_cells_n
stress_ulcer_prophylaxis,336,Cardiac ICU,146,0,0.0,10,
stress_ulcer_prophylaxis,336,Med-Surg ICU,963,0,0.0,10,
stress_ulcer_prophylaxis,337,Med-Surg ICU,793,0,0.0,10,
stress_ulcer_prophylaxis,338,CCU-CTICU,1229,1,0.081367,10,
stress_ulcer_prophylaxis,338,MICU,1621,0,0.0,10,
stress_ulcer_prophylaxis,338,Med-Surg ICU,101,0,0.0,10,
stress_ulcer_prophylaxis,338,Neuro ICU,987,0,0.0,10,
stress_ulcer_prophylaxis,338,SICU,1880,0,0.0,10,
stress_ulcer_prophylaxis,342,Med-Surg ICU,148,0,0.0,10,
stress_ulcer_prophylaxis,345,Med-Surg ICU,2059,0,0.0,10,
stress_ulcer_prophylaxis,353,Med-Surg ICU,830,0,0.0,10,
stress_ulcer_prophylaxis,358,Med-Surg ICU,364,0,0.0,10,
stress_ulcer_prophylaxis,360,Med-Surg ICU,342,0,0.0,10,
stress_ulcer_prophylaxis,363,Med-Surg ICU,47,0,0.0,10,
stress_ulcer_prophylaxis,364,Med-Surg ICU,315,0,0.0,10,
stress_ulcer_prophylaxis,365,Cardiac ICU,780,0,0.0,10,
stress_ulcer_prophylaxis,365,Med-Surg ICU,1163,0,0.0,10,
stress_ulcer_prophylaxis,365,Neuro ICU,245,0,0.0,10,
stress_ulcer_prophylaxis,411,MICU,1637,0,0.0,10,
stress_ulcer_prophylaxis,411,SICU,753,0,0.0,10,
stress_ulcer_prophylaxis,412,MICU,299,0,0.0,10,
stress_ulcer_prophylaxis,413,CCU-CTICU,1312,0,0.0,10,
stress_ulcer_prophylaxis,413,Neuro ICU,975,0,0.0,10,
stress_ulcer_prophylaxis,416,CCU-CTICU,848,24,2.830189,10,
stress_ulcer_prophylaxis,416,MICU,671,22,3.278689,10,
stress_ulcer_prophylaxis,416,SICU,395,6,1.518987,10,
stress_ulcer_prophylaxis,417,Med-Surg ICU,685,74,10.80292,10,
stress_ulcer_prophylaxis,420,CCU-CTICU,1394,9,0.645624,10,
stress_ulcer_prophylaxis,420,Cardiac ICU,1121,55,4.906334,10,
stress_ulcer_prophylaxis,420,Med-Surg ICU,2612,117,4.479326,10,
stress_ulcer_prophylaxis,420,SICU,3026,41,1.354924,10,
stress_ulcer_prophylaxis,421,Med-Surg ICU,637,0,0.0,10,
stress_ulcer_prophylaxis,422,Med-Surg ICU,437,0,0.0,10,
stress_ulcer_prophylaxis,423,Med-Surg ICU,48,0,0.0,10,
stress_ulcer_prophylaxis,424,Med-Surg ICU,604,38,6.291391,10,
stress_ulcer_prophylaxis,425,Med-Surg ICU,291,5,1.718213,10,
stress_ulcer_prophylaxis,443,CCU-CTICU,817,0,0.0,10,
stress_ulcer_prophylaxis,443,MICU,912,0,0.0,10,
stress_ulcer_prophylaxis,443,Neuro ICU,1205,0,0.0,10,
stress_ulcer_prophylaxis,443,SICU,958,0,0.0,10,
stress_ulcer_prophylaxis,444,Med-Surg ICU,685,74,10.80292,10,
stress_ulcer_prophylaxis,445,Med-Surg ICU,361,33,9.141274,10,
stress_ulcer_prophylaxis,447,Med-Surg ICU,24,0,0.0,10,
stress_ulcer_prophylaxis,449,Med-Surg ICU,1631,93,5.702023,10,
stress_ulcer_prophylaxis,449,Neuro ICU,352,1,0.284091,10,
stress_ulcer_prophylaxis,458,CTICU,466,6,1.287554,10,
stress_ulcer_prophylaxis,458,Cardiac ICU,785,48,6.11465,10,
stress_ulcer_prophylaxis,458,MICU,320,26,8.125,10,
stress_ulcer_prophylaxis,458,Neuro ICU,239,3,1.25523,10,
stress_ulcer_prophylaxis,458,SICU,219,1,0.456621,10,
stress_ulcer_prophylaxis,459,Med-Surg ICU,368,24,6.521739,10,
stress_ulcer_prophylaxis,56,Med-Surg ICU,235,0,0.0,10,
stress_ulcer_prophylaxis,58,Med-Surg ICU,242,0,0.0,10,
stress_ulcer_prophylaxis,59,Med-Surg ICU,735,0,0.0,10,
stress_ulcer_prophylaxis,60,Med-Surg ICU,370,0,0.0,10,
stress_ulcer_prophylaxis,61,Med-Surg ICU,203,0,0.0,10,
stress_ulcer_prophylaxis,63,Med-Surg ICU,1616,0,0.0,10,
stress_ulcer_prophylaxis,66,Med-Surg ICU,1159,0,0.0,10,
stress_ulcer_prophylaxis,67,Med-Surg ICU,493,0,0.0,10,
